45.11,15.54662573337555,0.5119705340699816,0.47226277372262776,0.4195583596214511,0.3223684210526316,0.4430379746835443,0.3735070575461455,0.46019247594050744,0.4691252144082333,0.5363036303630363,0.43530499075785584,0.556,0.647,0.266,0.294,0.21,0.344,0.526,0.547,0.65,0.471
44.94,15.617249250411987,0.5190615835777126,0.4968553459119497,0.43717728055077454,0.31241655540720964,0.4804177545691906,0.3556561085972851,0.453537936913896,0.4593929450369155,0.5528888888888889,0.4029197080291971,0.531,0.632,0.254,0.234,0.184,0.393,0.532,0.56,0.622,0.552
44.37,15.638597965240479,0.5201654601861427,0.4707977207977208,0.42158516020236086,0.3113087674714104,0.4708994708994709,0.34914950760966873,0.4595070422535211,0.45634266886326197,0.5152439024390244,0.4194139194139194,0.503,0.661,0.25,0.245,0.178,0.39,0.522,0.554,0.676,0.458
44.66,15.567919731140137,0.5117591721542804,0.46220302375809935,0.41379310344827586,0.3194263363754889,0.47044334975369456,0.3472840605520926,0.4731977818853974,0.46810273405136704,0.5266990291262136,0.42424242424242425,0.544,0.642,0.264,0.245,0.191,0.39,0.512,0.565,0.651,0.462
44.77,15.633106231689453,0.4918454935622318,0.5063613231552163,0.3913630229419703,0.3238822246455834,0.45542168674698796,0.3631156930126002,0.45695970695970695,0.4943820224719101,0.5198135198135199,0.4101346001583531,0.573,0.597,0.29,0.297,0.189,0.317,0.499,0.528,0.669,0.518
44.79,15.569961309432983,0.4792514239218877,0.5028665028665029,0.37662337662337664,0.32179607109448083,0.4744897959183674,0.3707865168539326,0.4676663542642924,0.4911297852474323,0.535234899328859,0.4175084175084175,0.589,0.614,0.29,0.344,0.186,0.297,0.499,0.526,0.638,0.496
45.33,15.560365438461304,0.5078260869565218,0.47183098591549294,0.4059259259259259,0.323846908734053,0.48577680525164113,0.3679144385026738,0.4868282402528978,0.475736568457539,0.539815590947192,0.43320610687022904,0.584,0.67,0.274,0.33,0.222,0.344,0.462,0.549,0.644,0.454
44.94,15.70125138759613,0.5218216318785579,0.4749455337690632,0.42495784148397975,0.3120638085742772,0.47160493827160493,0.3713991769547325,0.4988558352402746,0.45016077170418006,0.5360824742268041,0.4116680361544782,0.55,0.654,0.252,0.313,0.191,0.361,0.436,0.56,0.676,0.501
45.22,15.620045065879822,0.5290697674418605,0.4778434268833087,0.39755351681957185,0.3333333333333333,0.4752941176470588,0.38596491228070173,0.46734130634774607,0.46836555360281196,0.525908739365816,0.4080267558528428,0.546,0.647,0.26,0.284,0.202,0.374,0.508,0.533,0.68,0.488
45.32,15.609159469604492,0.5056570931244561,0.4861751152073733,0.40084985835694054,0.3286384976525822,0.5117493472584856,0.37770897832817335,0.4841802492809204,0.4612794612794613,0.5171314741035856,0.42584562012142235,0.581,0.633,0.283,0.28,0.196,0.366,0.505,0.548,0.649,0.491
45.29,15.584640383720398,0.5391658189216684,0.4948535233570863,0.3852040816326531,0.30808597748208805,0.4939759036144578,0.39100346020761245,0.4747663551401869,0.4692982456140351,0.5158610271903323,0.4256584536958369,0.53,0.625,0.302,0.301,0.205,0.339,0.508,0.535,0.683,0.501
45.35,15.603176593780518,0.5307473982970672,0.4937402190923318,0.42476489028213166,0.316894018887723,0.5,0.37145855194123817,0.4796905222437137,0.4450506625097428,0.5172413793103449,0.43386243386243384,0.561,0.631,0.271,0.302,0.197,0.354,0.496,0.571,0.66,0.492
45.29,15.622184872627258,0.5220588235294118,0.48989113530326595,0.42260061919504643,0.31243878550440746,0.5078534031413613,0.375,0.47751196172248805,0.4526143790849673,0.5188897455666923,0.43360433604336046,0.568,0.63,0.273,0.319,0.194,0.339,0.499,0.554,0.673,0.48
45.38,15.615007281303406,0.5170863309352518,0.47488921713441656,0.41973490427098675,0.3216704288939052,0.4889975550122249,0.3841870824053452,0.4794392523364486,0.4512987012987013,0.532139951179821,0.4261715296198055,0.575,0.643,0.285,0.285,0.2,0.345,0.513,0.556,0.654,0.482
45.44,15.651755809783936,0.5069686411149826,0.4707581227436823,0.42,0.31378299120234604,0.5012106537530266,0.3956574185765983,0.4876360039564787,0.4602649006622517,0.5396694214876033,0.42653606411398043,0.582,0.652,0.273,0.321,0.207,0.328,0.493,0.556,0.653,0.479
45.3,15.644938826560974,0.5078125,0.4776883686905633,0.4053672316384181,0.3139763779527559,0.49866666666666665,0.392688679245283,0.49744114636642783,0.45230263157894735,0.5354462051709759,0.4273204903677758,0.585,0.653,0.287,0.319,0.187,0.333,0.486,0.55,0.642,0.488
45.48,15.62862777709961,0.5191956124314442,0.4877675840978593,0.41964285714285715,0.3202416918429003,0.4987405541561713,0.37808807733619765,0.4948453608247423,0.4620630861040068,0.5480274442538593,0.4097222222222222,0.568,0.638,0.282,0.318,0.198,0.352,0.48,0.542,0.639,0.531
45.35,15.603367447853088,0.5363457760314342,0.4612272420768712,0.4115107913669065,0.3251282051282051,0.5012787723785166,0.3904109589041096,0.4850894632206759,0.45110928512736237,0.5391517128874388,0.41868823000898475,0.546,0.684,0.286,0.317,0.196,0.342,0.488,0.549,0.661,0.466
45.57,15.601328015327454,0.5287907869481766,0.4631796283551273,0.425531914893617,0.32574974146845914,0.5088607594936709,0.3930635838150289,0.48747591522157996,0.4553499597747385,0.5400495458298926,0.4175531914893617,0.551,0.673,0.28,0.315,0.201,0.34,0.506,0.566,0.654,0.471
45.75,15.604673147201538,0.5249077490774908,0.4778181818181818,0.42592592592592593,0.32711198428290766,0.5185185185185185,0.388042203985932,0.485053037608486,0.4538087520259319,0.5497026338147833,0.4205685618729097,0.569,0.657,0.276,0.333,0.196,0.331,0.503,0.56,0.647,0.503
45.56,15.620676875114441,0.5280151946818613,0.4755043227665706,0.42159763313609466,0.3295687885010267,0.5056179775280899,0.3801560758082497,0.48326771653543305,0.45258964143426295,0.5481171548117155,0.419327731092437,0.556,0.66,0.285,0.321,0.18,0.341,0.491,0.568,0.655,0.499
45.32,15.56595754623413,0.5264133456904542,0.4714693295292439,0.4154727793696275,0.31947261663286003,0.4975369458128079,0.36989247311827955,0.488,0.46115288220551376,0.5286059629331185,0.4297832233741753,0.568,0.661,0.29,0.315,0.202,0.344,0.488,0.552,0.656,0.456
45.45,15.598368287086487,0.5362035225048923,0.4708771929824561,0.4275147928994083,0.32142857142857145,0.5051282051282051,0.37037037037037035,0.486,0.46296296296296297,0.5324367088607594,0.42368177613321,0.548,0.671,0.289,0.333,0.197,0.34,0.486,0.55,0.673,0.458
